index	name	icon
1	铁齿轮	BTNtcl.png
2	充能望远镜	BTNTelescope.png
3	木盾	BTNSteelArmor.png
4	小刀	BTNSacrifice.png
5	勇气勋章	BTNMedalionOfCourage.png
6	接受火焰传承	BTNImmolationOn.png
7	流火长剑	BTNArcaniteMelee.png
8	灭火	BTNImmolationOff.png
9	生命护符	BTNAmulet.png
10	橡果	BTNAcorn.png
11	小树枝	BTNNatureTouchGrow.png
12	加速手套	BTNTemp.png
13	升级灵瓮	BTNUrnOfKelThuzad.png
14	泰坦图腾	BTNHealingWard.png
15	力量拳套	BTNTemp.png
16	储备蛇棒	BTNqslw.png
17	地精望远镜	BTNTelescope.png
18	疯狂药剂	BTNChemicalRage.png
19	古法坠饰	BTNPendantOfEnergy.png
20	蝴蝶标本	BTNPhaseShift.png
21	恢复指环	BTNTemp.png
22	火花手套	BTNGlove.png
23	敏捷便鞋	BTNTemp.png
24	喷火器	BTNFire.png
25	破败巫毒之剑	BTNpb.png
26	奇怪的橡果	BTNAcorn.png
27	升级护符	BTNTemp.png
28	速度之靴	BTNTemp.png
29	通天藤	BTNShimmerWeed.png
30	巫毒权杖	BTNWandSkull.png
31	巫毒项链	BTNNecklace.png
32	巫毒小玩意	BTNSacrificialSkull.png
33	小戒指	BTNRingJadeFalcon.png
34	星落法杖	BTNWandOfManaSteal.png
35	医疗权杖	BTNTemp.png
36	艺人面罩	BTNTemp.png
37	智力头冠	BTNCirclet.png
38	æ¯æ¶²ä¹ç	BTNOrbOfVenom.png
39	æå½±ä¹ç	BTNTemp.png
40	充能电池	BTNPowerGenerator.png
41	献祭头骨	BTNSacrificialSkull.png
42	仪式宝石	BTNGem.png
43	笑脸硬币	BTNyb16.png
44	幸运币	BTNyb3.png
45	极速之咒	BTNScrollOfHaste.png
46	启智之咒	BTNSnazzyScrollGreen.png
47	自动诡雷	BTNGoblinLandMine.png
48	红齿轮	BTNccl.png
49	充能剑	BTNThoriumMelee.png
50	通灵杖	BTNStaffOfNegation.png
51	蓄能器	BTNxnq.png
52	传火图腾	BTNGlyph.png
53	火苗	BTNI05F.png
54	火苗(变异)	BTNI05I.png
55	暖石	BTNI05Q.png
56	仪式项链	BTNNecklace.png
57	符文石	BTNRunedBracers.png
58	火花灵翁	BTNHornOfFog.png
59	火花灵瓮	BTNHornOfFog.png
60	霓虹棍剑	BTNnhgj.png
61	结算灵瓮	BTNHornOfCenarius.png
62	邪恶灵瓮	BTNHornOfDoom.png
63	离子护盾	BTNlzhd.png
64	通灵书	BTNNecromancerAdept.png
65	彼岸花	BTNDeathAndDecay.png
66	金色勋章	BTNTemp.png
67	奎尔萨拉斯之靴	BTNTemp.png
68	廉价钝斧	BTNOrcMeleeUpOne.png
69	劣质充能瓶	BTNPotionRed.png
70	铭咒金印	BTNSpellShieldAmulet.png
71	魔法石	BTNManaStone.png
72	神行靴	BTNyxx.png
73	试作型注射剂	BTNszxyj.png
74	水晶球	BTNTemp.png
75	休闲耳机	BTNxxej.png
76	游医之杖	BTNWand.png
77	战术头盔	BTNzstk.png
78	灵魂	BTNShade.png
79	次元结晶	BTNXNSJ.png
80	献祭之刃	BTNXJZR.png
81	邪神的心脏碎片	BTNXSZX.png
82	夹层硬币	BTNyb1.png
83	母币	BTNyb8.png
84	纽扣硬币	BTNyb7.png
85	子币	BTNyb10.png
86	精灵战旗	BTNNightElfCaptureFlag.png
87	王国战旗	BTNHumanCaptureFlag.png
88	邪恶之咒	BTNSnazzyScrollPurple.png
89	流星法杖	BTNTemp.png
90	白齿轮	BTNbcl.png
91	充能盾	BTNnld.png
92	焚烬之杖	BTNI05X.png
93	火种	BTNI05E.png
94	浴火者	BTNAdvancedUnholyStrength.png
95	万宝锤	BTNwbc.png
96	窃魂灵翁	BTNSoulGem.png
97	私人贷卷	BTNScroll.png
98	雄鹰戒指	BTNRingJadeFalcon.png
99	毁灭之怒	BTNAmuletOftheWild.png
100	火花末刃	BTNzhmr.png
101	火花奇术手	BTNFaerieFire.png
102	遗留者眼球	BTNSentryWard.png
103	窃魂灵瓮	BTNqhlw.png
104	咒文灵瓮	BTNzwlw.png
105	巨人法杖	BTNStaffOfSanctuary.png
106	巨人之力图腾	BTNHealingWard.png
107	泰坦之心	BTNHeartOfAszune.png
108	无私巨人之杖	BTNStaffOfPurification.png
109	通灵笛	BTNAlleriaFlute.png
110	咒文师的通灵长袍	BTNTemp.png
111	奥术神杖	BTNPriestAdept.png
112	噩梦之爪	BTNSpellSteal.png
113	慧光	BTNhuiguang.png
114	炼金罐	BTNTemp.png
115	魔戒	BTNGoldRing.png
116	茉萃的福袋	BTNDust.png
117	祈求之杖	BTNDOTAdeptTraining.png
118	散华	BTNsanhua.png
119	蚀甲之球	BTNOrbOfCorruption.png
120	私人贷券	BTNsrdq.png
121	挑战头巾	BTNHoodOfCunning.png
122	屠杀金刃	BTNtsjr.png
123	夜叉	BTNyecha.png
